,Year,Country,Latitude,Longitude,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
89,1967,VENEZUELA,10.559,-67.33,300.0,0.0,1536.0,140.0,,
90,1967,PAPUA NEW GUINEA,-4.4,152.5,0.0,0.0,0.0,,,
91,1967,PERU,-10.6,-79.8,0.0,0.0,0.0,,,
92,1967,USA,59.621,-151.106,0.0,0.0,0.0,,,
93,1967,CHILE,-28.78,-71.19,0.0,0.0,0.0,,,
94,1967,ANTARCTICA,-63.0,-60.5,0.0,0.0,0.0,,,
95,1967,USA TERRITORY,,,0.0,0.0,0.0,,80.0,
96,1967,CHILE,-21.7,-69.5,1.0,0.0,0.0,,,
97,1968,RUSSIA,43.586,146.701,0.0,0.0,0.0,,,
98,1968,GREECE,39.368,24.957,20.0,0.0,18.0,0.6,500.0,1951.0
99,1968,JAPAN,32.3,132.5,1.0,0.0,22.0,,,
100,1968,ITALY,44.08,8.0,0.0,0.0,0.0,,,
101,1968,CHILE,-27.15,-109.45,0.0,0.0,0.0,,,
102,1968,JAPAN,40.8,143.2,52.0,0.0,330.0,131.0,1218.0,
103,1968,JAPAN,41.5,142.7,0.0,0.0,0.0,,,
104,1968,JAPAN,39.4,143.1,0.0,0.0,0.0,,,
105,1968,NEW ZEALAND,-30.8,-178.4,0.0,0.0,0.0,,,
106,1968,PHILIPPINES,16.5,122.2,270.0,0.0,261.0,8.0,,
107,1968,JAPAN,33.3,132.2,0.0,0.0,0.0,,,
108,1968,INDONESIA,1.4,126.2,0.0,0.0,0.0,,,
109,1968,INDONESIA,0.2,119.8,200.0,0.0,58.0,,800.0,
110,1968,TURKEY,41.8,32.3,24.0,0.0,200.0,,2000.0,
111,1968,VENEZUELA,10.697,-62.748,3.0,0.0,0.0,,,
112,1968,MEXICO,15.6,-92.6,15.0,0.0,500.0,,,
113,1969,INDONESIA,-3.1,118.9,664.0,0.0,97.0,,1287.0,
114,1969,PORTUGAL,36.017,-10.95,25.0,0.0,80.0,,,
115,1969,PHILIPPINES,19.077,122.202,3.0,0.0,0.0,,,
116,1969,EGYPT,27.7,34.0,2.0,0.0,16.0,,107.0,
117,1969,SWEDEN,59.4,13.5,0.0,0.0,0.0,,,
118,1969,JAPAN,32.2,132.1,0.0,0.0,0.0,,,
119,1969,ATLANTIC OCEAN,28.25,-16.26,0.0,0.0,0.0,,,
120,1969,CHINA,38.2,119.4,10.0,0.0,353.0,,15190.0,24810.0
121,1969,PAPUA NEW GUINEA,-6.6,146.9,0.0,0.0,0.0,,,
122,1969,RUSSIA,43.6,147.9,0.0,0.0,0.0,,,
123,1969,SOUTH AFRICA,,,0.0,0.0,0.0,,,
124,1969,RUSSIA,57.7,163.6,0.0,0.0,0.0,,,
125,1969,GUADELOUPE (FRENCH TERRITORY),15.8,-59.7,0.0,0.0,0.0,,,
126,1970,PHILIPPINES,6.8,126.7,0.0,0.0,0.0,,,
127,1970,USA,57.5,-153.9,0.0,0.0,0.0,,,
128,1970,PHILIPPINES,15.78,121.71,15.0,0.0,200.0,,,
129,1970,RUSSIA,43.0,47.1,0.0,0.0,0.0,,,
130,1970,PERU,-9.2,-78.8,66794.0,0.0,50000.0,530.0,,
131,1970,CHILE,-52.0,-73.8,0.0,0.0,0.0,,,
132,1970,CHILE,-22.28,-70.55,0.0,0.0,0.0,,,
133,1970,JAPAN,32.2,131.7,0.0,0.0,13.0,,,
134,1970,NEW ZEALAND,-44.64,173.62,0.0,0.0,0.0,,,
135,1970,PHILIPPINES,20.6,122.0,0.0,0.0,0.0,,,
136,1970,PAPUA NEW GUINEA,-4.907,145.471,18.0,0.0,20.0,1.75,800.0,
137,1970,CHILE,-20.94,-69.81,0.0,0.0,0.0,,,
138,1970,RUSSIA,43.84,39.34,0.0,0.0,0.0,,,
139,1971,PERU,-11.116,-76.5,600.0,0.0,0.0,,,
140,1971,USA,51.228,-177.173,0.0,0.0,0.0,,,
141,1971,CHILE,-32.5,-71.2,83.0,0.0,447.0,236.4,,
142,1971,PAPUA NEW GUINEA,-5.5,153.9,3.0,0.0,5.0,,,
143,1971,PAPUA NEW GUINEA,-4.9,153.2,0.0,0.0,0.0,,,
144,1971,JAPAN,41.4,143.5,0.0,0.0,0.0,,,
145,1971,RUSSIA,46.5,141.2,0.0,0.0,0.0,,,
146,1971,RUSSIA,46.7,141.4,0.0,0.0,0.0,,,
147,1971,SOLOMON ISLANDS,-10.38,165.8,0.0,0.0,0.0,,,
148,1971,RUSSIA,46.4,141.1,0.0,0.0,0.0,,,
149,1971,RUSSIA,46.3,140.9,0.0,0.0,0.0,,,
150,1971,PAPUA NEW GUINEA,-6.5,146.6,0.0,0.0,0.0,,,
151,1971,RUSSIA,46.4,141.1,0.0,0.0,0.0,,,
152,1971,USA,51.5,179.1,0.0,0.0,0.0,,,
153,1971,RUSSIA,56.0,163.3,0.0,0.0,0.0,,,
154,1972,TAIWAN,22.5,122.3,1.0,0.0,0.0,,5.0,
155,1972,JAPAN,33.3,140.8,0.0,0.0,0.0,,,
156,1972,CHILE,-30.5,-71.8,0.0,0.0,0.0,,,
157,1972,USA,56.82,-135.685,0.0,0.0,0.0,,,
158,1972,PAPUA NEW GUINEA,-6.0,152.9,0.0,0.0,0.0,,,
159,1972,PAPUA NEW GUINEA,-6.7,147.0,0.0,0.0,0.0,,,
160,1972,JAPAN,32.9,130.3,0.0,0.0,0.0,,,
161,1972,PAPUA NEW GUINEA,-5.52,148.121,0.0,0.0,0.0,,,
162,1972,PHILIPPINES,6.5,126.6,0.0,0.0,0.0,,,
163,1972,JAPAN,33.3,140.7,0.0,0.0,0.0,,,
164,1972,CHILE,-30.6,-71.0,0.0,0.0,0.0,,,
165,1973,MEXICO,18.48,-103.0,56.0,0.0,390.0,,,
166,1973,RUSSIA,50.5,156.6,0.0,0.0,0.0,,,
167,1973,PHILIPPINES,13.4,122.8,15.0,0.0,64.0,0.45,,
168,1973,JAPAN,43.2,145.8,0.0,0.0,27.0,5.0,2.0,
169,1973,RUSSIA,43.3,146.4,0.0,0.0,1.0,,,
170,1973,RUSSIA,43.2,146.6,0.0,0.0,0.0,,,
171,1973,CHILE,-32.5,-71.5,0.0,0.0,0.0,,,
172,1973,INDONESIA,-8.54,123.59,2.0,0.0,0.0,,,
173,1974,SOLOMON ISLANDS,-7.5,155.9,0.0,0.0,0.0,,,
174,1974,SOLOMON ISLANDS,-7.4,155.6,0.0,0.0,0.0,,,
175,1974,JAPAN,34.6,138.7,30.0,0.0,137.0,,134.0,
176,1974,CHILE,-38.5,-73.4,0.0,0.0,0.0,,,
177,1974,RUSSIA,43.2,146.7,0.0,0.0,0.0,,,
178,1974,PERU,-12.27,-77.79,78.0,0.0,2414.0,10.0,,
179,1974,CANADA,54.0,-128.7,0.0,0.0,0.0,,,
180,1974,PAPUA NEW GUINEA,-5.52,148.121,0.0,0.0,0.0,,,
181,1974,PAKISTAN,35.1,72.9,5300.0,0.0,17000.0,3.255,,
182,1975,INDONESIA,-5.0,130.0,0.0,0.0,0.0,,81.0,
183,1975,CHILE,-29.9,-71.3,2.0,0.0,25.0,,,
184,1975,CANADA,53.98,-128.68,0.0,0.0,0.0,,,
185,1975,ATLANTIC OCEAN,35.962,-17.576,0.0,0.0,0.0,,,
186,1975,RUSSIA,43.024,147.734,0.0,0.0,0.0,,,
187,1975,PAPUA NEW GUINEA,-6.59,155.054,0.0,0.0,0.0,,,
188,1975,PHILIPPINES,12.54,125.993,1.0,0.0,0.0,,30.0,
189,1975,USA,19.451,-155.033,2.0,0.0,19.0,4.0,,
190,1975,FIJI,-18.672,178.464,0.0,0.0,0.0,,,
191,1975,SAMOA,-16.265,-172.467,0.0,0.0,0.0,,,
192,1976,NEW ZEALAND,-28.427,-177.657,0.0,0.0,0.0,,,
193,1976,RUSSIA,44.915,149.123,0.0,0.0,0.0,,,
194,1976,GUATEMALA,15.324,-89.101,23000.0,0.0,76000.0,2147.0,,
195,1976,PANAMA,7.4,-78.1,5.0,0.0,7.0,,,
196,1976,PHILIPPINES,6.292,124.09,8000.0,0.0,10000.0,134.0,,
197,1977,SAMOA,-16.696,-172.095,0.0,0.0,0.0,,,
198,1977,SOLOMON ISLANDS,-9.828,163.323,34.0,0.0,0.0,,,
199,1977,SOLOMON ISLANDS,-9.89,160.348,0.0,0.0,0.0,,,
200,1977,SOLOMON ISLANDS,-9.965,160.731,18.0,0.0,1.0,,,
201,1977,TONGA,-22.878,-175.9,1.0,0.0,5.0,1.2,,
202,1977,INDONESIA,-11.085,118.464,189.0,0.0,75.0,1.2,,
203,1977,PAPUA NEW GUINEA,-1.1,146.2,0.0,0.0,0.0,,,
204,1977,PAPUA NEW GUINEA,-1.081,146.23,0.0,0.0,0.0,,,
205,1977,TONGA,-25.856,-175.406,0.0,0.0,0.0,,,
206,1978,JAPAN,34.809,139.259,25.0,0.0,129.0,,85.0,544.0
207,1978,RUSSIA,44.026,149.002,0.0,0.0,0.0,,,
208,1978,RUSSIA,44.14,149.029,0.0,0.0,0.0,,,
209,1978,RUSSIA,44.209,148.971,0.0,0.0,0.0,,,
210,1978,RUSSIA,44.932,148.439,0.0,0.0,0.0,,,
211,1978,RUSSIA,44.244,148.862,0.0,0.0,0.0,,,
212,1978,JAPAN,38.19,142.03,28.0,0.0,1000.0,865.0,,
213,1978,INDIA,,,0.0,0.0,0.0,,,
214,1978,PHILIPPINES,8.249,122.403,0.0,0.0,0.0,,,
215,1978,GREECE,40.739,23.229,50.0,0.0,0.0,250.0,,
216,1978,ITALY,42.0,16.0,0.0,0.0,0.0,,,
217,1978,TAIWAN,22.282,121.512,0.0,0.0,0.0,,,
218,1978,SPAIN,36.37,-6.98,0.0,0.0,0.0,,,
219,1978,NEW ZEALAND,-43.08,172.97,0.0,0.0,0.0,,,
220,1978,MEXICO,16.01,-96.591,9.0,0.0,0.0,,,
221,1978,VIETNAM,21.4,108.0,0.0,0.0,0.0,,,
222,1979,JAPAN,40.232,143.703,0.0,0.0,0.0,,,
223,1979,USA,60.691,-141.671,0.0,0.0,0.0,,,
224,1979,MEXICO,17.813,-101.276,5.0,0.0,35.0,30.0,200.0,
225,1979,JAPAN,,,3.0,0.0,0.0,,,
226,1979,MONTENEGRO,41.956,19.023,0.0,0.0,0.0,,,
227,1979,MONTENEGRO,42.096,19.209,131.0,0.0,1001.0,2700.0,,
228,1979,GREECE,34.53,24.437,0.0,0.0,0.0,,,
229,1979,INDONESIA,-8.6,123.5,1239.0,0.0,32.0,,,
230,1979,INDONESIA,-8.5,123.5,0.0,0.0,0.0,,,
231,1979,VENEZUELA,11.517,-69.5,0.0,0.0,0.0,,,
232,1979,INDONESIA,-1.679,136.04,115.0,0.0,0.0,,1000.0,
